Total Steps:  6155 Episode:  27 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6840 Distance Reward:  11580 Boundary Penalty:  180 Goal Reward:  70 Goal Penalty:  615.3000000000713
Total Steps:  6156 Episode:  28 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6850 Distance Reward:  11600 Boundary Penalty:  190 Goal Reward:  70 Goal Penalty:  615.4000000000714
Total Steps:  6157 Episode:  29 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6860 Distance Reward:  11620 Boundary Penalty:  200 Goal Reward:  70 Goal Penalty:  615.5000000000714
Total Steps:  6158 Episode:  30 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6870 Distance Reward:  11640 Boundary Penalty:  210 Goal Reward:  70 Goal Penalty:  615.6000000000714
Total Steps:  6159 Episode:  31 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6880 Distance Reward:  11660 Boundary Penalty:  220 Goal Reward:  70 Goal Penalty:  615.7000000000714
Total Steps:  6160 Episode:  32 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6890 Distance Reward:  11680 Boundary Penalty:  230 Goal Reward:  70 Goal Penalty:  615.8000000000715
Total Steps:  6161 Episode:  33 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6900 Distance Reward:  11700 Boundary Penalty:  240 Goal Reward:  70 Goal Penalty:  615.9000000000715
Total Steps:  6162 Episode:  34 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6910 Distance Reward:  11720 Boundary Penalty:  250 Goal Reward:  70 Goal Penalty:  616.0000000000715
Total Steps:  6163 Episode:  35 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6920 Distance Reward:  11740 Boundary Penalty:  260 Goal Reward:  70 Goal Penalty:  616.1000000000715
Total Steps:  6164 Episode:  36 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6930 Distance Reward:  11760 Boundary Penalty:  270 Goal Reward:  70 Goal Penalty:  616.2000000000716
Total Steps:  6165 Episode:  37 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6940 Distance Reward:  11780 Boundary Penalty:  280 Goal Reward:  70 Goal Penalty:  616.3000000000716
Total Steps:  6166 Episode:  38 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6950 Distance Reward:  11800 Boundary Penalty:  290 Goal Reward:  70 Goal Penalty:  616.4000000000716
Total Steps:  6167 Episode:  39 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6960 Distance Reward:  11820 Boundary Penalty:  300 Goal Reward:  70 Goal Penalty:  616.5000000000716
Total Steps:  6168 Episode:  40 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6970 Distance Reward:  11840 Boundary Penalty:  310 Goal Reward:  70 Goal Penalty:  616.6000000000716
Total Steps:  6169 Episode:  41 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6980 Distance Reward:  11860 Boundary Penalty:  320 Goal Reward:  70 Goal Penalty:  616.7000000000717
Total Steps:  6170 Episode:  42 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  6990 Distance Reward:  11880 Boundary Penalty:  330 Goal Reward:  70 Goal Penalty:  616.8000000000717
Total Steps:  6171 Episode:  43 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7000 Distance Reward:  11900 Boundary Penalty:  340 Goal Reward:  70 Goal Penalty:  616.9000000000717
Total Steps:  6172 Episode:  44 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7010 Distance Reward:  11920 Boundary Penalty:  350 Goal Reward:  70 Goal Penalty:  617.0000000000717
Total Steps:  6173 Episode:  45 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7020 Distance Reward:  11940 Boundary Penalty:  360 Goal Reward:  70 Goal Penalty:  617.1000000000718
Total Steps:  6174 Episode:  46 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7030 Distance Reward:  11960 Boundary Penalty:  370 Goal Reward:  70 Goal Penalty:  617.2000000000718
Total Steps:  6175 Episode:  47 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7040 Distance Reward:  11980 Boundary Penalty:  380 Goal Reward:  70 Goal Penalty:  617.3000000000718
Total Steps:  6176 Episode:  48 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7050 Distance Reward:  12000 Boundary Penalty:  390 Goal Reward:  70 Goal Penalty:  617.4000000000718
Total Steps:  6177 Episode:  49 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7060 Distance Reward:  12020 Boundary Penalty:  400 Goal Reward:  70 Goal Penalty:  617.5000000000719
Total Steps:  6178 Episode:  50 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7070 Distance Reward:  12040 Boundary Penalty:  410 Goal Reward:  70 Goal Penalty:  617.6000000000719
Total Steps:  6179 Episode:  51 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7080 Distance Reward:  12060 Boundary Penalty:  420 Goal Reward:  70 Goal Penalty:  617.7000000000719
Total Steps:  6180 Episode:  52 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7090 Distance Reward:  12080 Boundary Penalty:  430 Goal Reward:  70 Goal Penalty:  617.8000000000719
Total Steps:  6181 Episode:  53 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7100 Distance Reward:  12100 Boundary Penalty:  440 Goal Reward:  70 Goal Penalty:  617.9000000000719
Total Steps:  6182 Episode:  54 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7110 Distance Reward:  12120 Boundary Penalty:  450 Goal Reward:  70 Goal Penalty:  618.000000000072
Total Steps:  6183 Episode:  55 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7120 Distance Reward:  12140 Boundary Penalty:  460 Goal Reward:  70 Goal Penalty:  618.100000000072
Total Steps:  6184 Episode:  56 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7130 Distance Reward:  12160 Boundary Penalty:  470 Goal Reward:  70 Goal Penalty:  618.200000000072
Total Steps:  6185 Episode:  57 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7140 Distance Reward:  12180 Boundary Penalty:  480 Goal Reward:  70 Goal Penalty:  618.300000000072
Total Steps:  6186 Episode:  58 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7150 Distance Reward:  12200 Boundary Penalty:  490 Goal Reward:  70 Goal Penalty:  618.400000000072
Total Steps:  6187 Episode:  59 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7160 Distance Reward:  12220 Boundary Penalty:  500 Goal Reward:  70 Goal Penalty:  618.5000000000721
Total Steps:  6188 Episode:  60 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7170 Distance Reward:  12240 Boundary Penalty:  510 Goal Reward:  70 Goal Penalty:  618.6000000000721
Total Steps:  6189 Episode:  61 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7180 Distance Reward:  12260 Boundary Penalty:  520 Goal Reward:  70 Goal Penalty:  618.7000000000721
Total Steps:  6190 Episode:  62 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7190 Distance Reward:  12280 Boundary Penalty:  530 Goal Reward:  70 Goal Penalty:  618.8000000000721
Total Steps:  6191 Episode:  63 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7200 Distance Reward:  12300 Boundary Penalty:  540 Goal Reward:  70 Goal Penalty:  618.9000000000722
Total Steps:  6192 Episode:  64 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7210 Distance Reward:  12320 Boundary Penalty:  550 Goal Reward:  70 Goal Penalty:  619.0000000000722
Total Steps:  6193 Episode:  65 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7220 Distance Reward:  12340 Boundary Penalty:  560 Goal Reward:  70 Goal Penalty:  619.1000000000722
Total Steps:  6194 Episode:  66 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7230 Distance Reward:  12360 Boundary Penalty:  570 Goal Reward:  70 Goal Penalty:  619.2000000000722
Total Steps:  6195 Episode:  67 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7240 Distance Reward:  12380 Boundary Penalty:  580 Goal Reward:  70 Goal Penalty:  619.3000000000723
Total Steps:  6196 Episode:  68 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7250 Distance Reward:  12400 Boundary Penalty:  590 Goal Reward:  70 Goal Penalty:  619.4000000000723
Total Steps:  6197 Episode:  69 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7260 Distance Reward:  12420 Boundary Penalty:  600 Goal Reward:  70 Goal Penalty:  619.5000000000723
Total Steps:  6198 Episode:  70 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7270 Distance Reward:  12440 Boundary Penalty:  610 Goal Reward:  70 Goal Penalty:  619.6000000000723
Total Steps:  6199 Episode:  71 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7280 Distance Reward:  12460 Boundary Penalty:  620 Goal Reward:  70 Goal Penalty:  619.7000000000724
Total Steps:  6200 Episode:  72 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7290 Distance Reward:  12480 Boundary Penalty:  630 Goal Reward:  70 Goal Penalty:  619.8000000000724
Total Steps:  6201 Episode:  73 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7300 Distance Reward:  12500 Boundary Penalty:  640 Goal Reward:  70 Goal Penalty:  619.9000000000724
Total Steps:  6202 Episode:  74 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7310 Distance Reward:  12520 Boundary Penalty:  650 Goal Reward:  70 Goal Penalty:  620.0000000000724
Total Steps:  6203 Episode:  75 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7320 Distance Reward:  12540 Boundary Penalty:  660 Goal Reward:  70 Goal Penalty:  620.1000000000724
Total Steps:  6204 Episode:  76 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7330 Distance Reward:  12560 Boundary Penalty:  670 Goal Reward:  70 Goal Penalty:  620.2000000000725
Total Steps:  6205 Episode:  77 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7340 Distance Reward:  12580 Boundary Penalty:  680 Goal Reward:  70 Goal Penalty:  620.3000000000725
